Time (sec)	Arena	Track	Current Accel (mm/s^2)
0.4	1	1	36.3891
0.433333	1	1	54.5108
0.466667	1	1	54.5811
0.5	1	1	51.7514
0.533333	1	1	43.4879
0.566667	1	1	32.44
0.6	1	1	23.2247
0.633333	1	1	16.4448
0.666667	1	1	10.5072
0.7	1	1	5.30455
0.733333	1	1	0.0382614
0.766667	1	1	5.20821
0.8	1	1	8.55518
0.833333	1	1	11.5722
0.866667	1	1	16.5885
0.9	1	1	22.6241
0.933333	1	1	24.3918
0.966667	1	1	23.5803
1	1	1	22.5841
1.03333	1	1	21.2205
1.06667	1	1	18.5206
1.1	1	1	14.6655
1.13333	1	1	9.06496
1.16667	1	1	5.51916
1.2	1	1	5.66513
1.23333	1	1	4.0855
1.26667	1	1	1.62422
1.3	1	1	7.98925
1.33333	1	1	10.9038
1.36667	1	1	12.9841
1.4	1	1	14.1945
1.43333	1	1	14.0392
1.46667	1	1	14.7104
1.5	1	1	16.279
1.53333	1	1	14.5527
1.56667	1	1	11.7512
1.6	1	1	11.6936
1.63333	1	1	10.7414
1.66667	1	1	7.26578
1.7	1	1	3.06713
1.73333	1	1	0.0515366
1.76667	1	1	3.5491
1.8	1	1	5.56107
1.83333	1	1	5.94173
1.86667	1	1	8.16519
1.9	1	1	12.1935
1.93333	1	1	13.4045
1.96667	1	1	12.0078
2	1	1	10.9102
2.03333	1	1	9.77379
2.06667	1	1	8.75404
2.1	1	1	7.10256
2.13333	1	1	3.69049
2.16667	1	1	0.849629
2.2	1	1	3.72446
2.23333	1	1	5.34968
2.26667	1	1	7.18781
2.3	1	1	9.43907
2.33333	1	1	10.5291
2.36667	1	1	11.6027
2.4	1	1	11.2328
2.43333	1	1	9.46239
2.46667	1	1	8.42495
2.5	1	1	7.53903
2.53333	1	1	3.34902
2.56667	1	1	1.80256
2.6	1	1	4.27948
2.63333	1	1	5.69252
2.66667	1	1	6.3513
2.7	1	1	4.98745
2.73333	1	1	0.188522
2.76667	1	1	1.21208
2.8	1	1	12.5879
2.83333	1	1	30.7817
2.86667	1	1	50.6001
2.9	1	1	72.1067
2.93333	1	1	91.6895
2.96667	1	1	110.798
3	1	1	132.812
3.03333	1	1	156.852
3.06667	1	1	182.969
3.1	1	1	213.321
3.13333	1	1	246.786
3.16667	1	1	257.062
3.2	1	1	239.198
3.23333	1	1	216.514
3.26667	1	1	190.958
3.3	1	1	160.649
3.33333	1	1	127.699
3.36667	1	1	91.6079
3.4	1	1	51.3171
3.43333	1	1	9.04739
3.46667	1	1	33.3125
3.5	1	1	75.7721
3.53333	1	1	116.004
3.56667	1	1	132.199
3.6	1	1	123.073
3.63333	1	1	112.496
3.66667	1	1	95.8928
3.7	1	1	69.424
3.73333	1	1	36.1569
3.76667	1	1	0.423403
3.8	1	1	36.6559
3.83333	1	1	71.392
3.86667	1	1	103.397
3.9	1	1	135.002
3.93333	1	1	122.718
3.96667	1	1	111.484
4	1	1	101.799
4.03333	1	1	96.2346
4.06667	1	1	94.1333
4.1	1	1	90.4912
4.13333	1	1	79.7937
4.16667	1	1	62.9429
4.2	1	1	43.552
4.23333	1	1	23.974
4.26667	1	1	3.03047
4.3	1	1	13.9161
4.33333	1	1	19.8608
4.36667	1	1	20.7687
4.4	1	1	7.16198
4.43333	1	1	10.9813
4.46667	1	1	31.1095
4.5	1	1	54.5616
4.53333	1	1	78.5381
4.56667	1	1	99.0111
4.6	1	1	116.661
4.63333	1	1	132.66
4.66667	1	1	147.734
4.7	1	1	167.562
4.73333	1	1	191.727
4.76667	1	1	185.784
4.8	1	1	174.929
4.83333	1	1	166.153
4.86667	1	1	157.762
4.9	1	1	144.647
4.93333	1	1	125.318
4.96667	1	1	103.731
5	1	1	83.8067
5.03333	1	1	64.7633
5.06667	1	1	45.4235
5.1	1	1	27.6194
5.13333	1	1	14.4432
5.16667	1	1	3.73583
5.2	1	1	9.28183
5.23333	1	1	19.079
5.26667	1	1	18.302
5.3	1	1	6.15635
5.33333	1	1	10.212
5.36667	1	1	23.2413
5.4	1	1	30.2199
5.43333	1	1	33.5412
5.46667	1	1	34.977
5.5	1	1	36.1277
5.53333	1	1	37.8842
5.56667	1	1	42.7382
5.6	1	1	51.665
5.63333	1	1	58.3296
5.66667	1	1	59.3691
5.7	1	1	55.7911
5.73333	1	1	51.2271
5.76667	1	1	47.9958
5.8	1	1	46.3625
5.83333	1	1	43.8903
5.86667	1	1	42.2783
5.9	1	1	40.8657
5.93333	1	1	37.7458
5.96667	1	1	31.7396
6	1	1	24.4722
6.03333	1	1	20.4484
6.06667	1	1	17.4747
6.1	1	1	12.0798
6.13333	1	1	6.48974
6.16667	1	1	4.17563
6.2	1	1	2.79861
6.23333	1	1	1.96709
6.26667	1	1	0.131016
6.3	1	1	3.3184
6.33333	1	1	4.80755
6.36667	1	1	3.94571
6.4	1	1	2.63184
6.43333	1	1	3.7997
6.46667	1	1	5.66587
6.5	1	1	4.99372
6.53333	1	1	4.96061
6.56667	1	1	7.5267
6.6	1	1	8.93029
6.63333	1	1	8.80467
6.66667	1	1	8.78566
6.7	1	1	7.48314
6.73333	1	1	6.45632
6.76667	1	1	7.49494
6.8	1	1	9.91487
6.83333	1	1	11.0902
6.86667	1	1	11.354
6.9	1	1	12.6641
6.93333	1	1	13.4903
6.96667	1	1	14.4652
7	1	1	16.3108
7.03333	1	1	16.1285
7.06667	1	1	14.1123
7.1	1	1	13.549
7.13333	1	1	14.016
7.16667	1	1	11.3718
7.2	1	1	7.1628
7.23333	1	1	4.59062
7.26667	1	1	3.0121
7.3	1	1	0.195599
7.33333	1	1	2.67429
7.36667	1	1	4.69652
7.4	1	1	6.76576
7.43333	1	1	6.22333
7.46667	1	1	4.89643
7.5	1	1	4.8233
7.53333	1	1	5.69078
7.56667	1	1	4.20283
7.6	1	1	1.66117
7.63333	1	1	1.01065
7.66667	1	1	2.61557
7.7	1	1	4.52104
7.73333	1	1	6.38088
7.76667	1	1	8.05843
7.8	1	1	9.03907
7.83333	1	1	9.24963
7.86667	1	1	8.69504
7.9	1	1	8.08536
7.93333	1	1	7.49514
7.96667	1	1	6.26617
8	1	1	4.69888
8.03333	1	1	2.46191
8.06667	1	1	2.04765
8.1	1	1	3.56638
8.13333	1	1	3.41797
8.16667	1	1	0.789567
8.2	1	1	0.830439
8.23333	1	1	2.30019
8.26667	1	1	3.62797
8.3	1	1	5.25946
8.33333	1	1	7.49106
8.36667	1	1	9.33705
8.4	1	1	10.4441
8.43333	1	1	11.6559
8.46667	1	1	13.6939
