Time (sec)	Arena	Track	Current Speed (mm/sec)
0.2	1	1	97.8435
0.233333	1	1	91.3621
0.266667	1	1	92.1291
0.3	1	1	94.3777
0.333333	1	1	97.9368
0.366667	1	1	101.81
0.4	1	1	104.927
0.433333	1	1	107.116
0.466667	1	1	108.553
0.5	1	1	109.35
0.533333	1	1	110.067
0.566667	1	1	111.245
0.6	1	1	112.399
0.633333	1	1	113.166
0.666667	1	1	113.962
0.7	1	1	115.078
0.733333	1	1	115.332
0.766667	1	1	114.786
0.8	1	1	114.216
0.833333	1	1	113.694
0.866667	1	1	112.756
0.9	1	1	111.472
0.933333	1	1	110.052
0.966667	1	1	109.162
1	1	1	108.977
1.03333	1	1	108.538
1.06667	1	1	107.326
1.1	1	1	106.029
1.13333	1	1	105.575
1.16667	1	1	105.354
1.2	1	1	105.183
1.23333	1	1	105.205
1.26667	1	1	105.347
1.3	1	1	105.606
1.33333	1	1	106.426
1.36667	1	1	106.954
1.4	1	1	106.711
1.43333	1	1	106.903
1.46667	1	1	107.976
1.5	1	1	109.224
1.53333	1	1	109.937
1.56667	1	1	110.547
1.6	1	1	110.861
1.63333	1	1	110.821
1.66667	1	1	111.231
1.7	1	1	112.117
1.73333	1	1	112.247
1.76667	1	1	111.655
1.8	1	1	111.388
1.83333	1	1	111.2
1.86667	1	1	110.882
1.9	1	1	110.451
1.93333	1	1	109.916
1.96667	1	1	109.128
2	1	1	108.636
2.03333	1	1	108.444
2.06667	1	1	107.965
2.1	1	1	107.24
2.13333	1	1	106.885
2.16667	1	1	106.851
2.2	1	1	107.024
2.23333	1	1	107.29
2.26667	1	1	107.381
2.3	1	1	107.61
2.33333	1	1	108.44
2.36667	1	1	109.467
2.4	1	1	110.126
2.43333	1	1	110.584
2.46667	1	1	110.841
2.5	1	1	111.016
2.53333	1	1	111.097
2.56667	1	1	111.493
2.6	1	1	111.517
2.63333	1	1	111.075
2.66667	1	1	110.751
2.7	1	1	110.626
2.73333	1	1	109.78
2.76667	1	1	108.746
2.8	1	1	108.414
2.83333	1	1	108.307
2.86667	1	1	108.3
2.9	1	1	109.021
2.93333	1	1	111.022
2.96667	1	1	111.008
3	1	1	106.482
3.03333	1	1	98.7626
3.06667	1	1	90.5105
3.1	1	1	81.783
3.13333	1	1	73.1037
3.16667	1	1	64.4271
3.2	1	1	55.2893
3.23333	1	1	45.5663
3.26667	1	1	35.1125
3.3	1	1	23.692
3.33333	1	1	12.3073
3.36667	1	1	8.18288
3.4	1	1	10.8032
3.43333	1	1	12.1569
3.46667	1	1	14.1271
3.5	1	1	17.5235
3.53333	1	1	22.024
3.56667	1	1	27.7839
3.6	1	1	34.7625
3.63333	1	1	41.9474
3.66667	1	1	48.4375
3.7	1	1	54.0009
3.73333	1	1	58.709
3.76667	1	1	61.0626
3.8	1	1	60.0322
3.83333	1	1	57.1554
3.86667	1	1	52.4842
3.9	1	1	45.2931
3.93333	1	1	36.4868
3.96667	1	1	27.9533
4	1	1	20.1002
4.03333	1	1	13.3905
4.06667	1	1	7.07848
4.1	1	1	0
4.13333	1	1	9.62174
4.16667	1	1	16.4692
4.2	1	1	19.3127
4.23333	1	1	18.6616
4.26667	1	1	14.8309
4.3	1	1	9.09655
4.33333	1	1	4.5693
4.36667	1	1	2.77615
4.4	1	1	2.67935
4.43333	1	1	3.80096
4.46667	1	1	5.8663
4.5	1	1	5.56643
4.53333	1	1	1.67743
4.56667	1	1	8.16171
4.6	1	1	16.4479
4.63333	1	1	23.0541
4.66667	1	1	27.2747
4.7	1	1	30.9212
4.73333	1	1	35.9845
4.76667	1	1	42.3806
4.8	1	1	49.3436
4.83333	1	1	56.8652
4.86667	1	1	64.96
4.9	1	1	72.5914
4.93333	1	1	78.3683
4.96667	1	1	82.4752
5	1	1	86.4197
5.03333	1	1	89.5155
5.06667	1	1	90.3795
5.1	1	1	88.78
5.13333	1	1	86.1116
5.16667	1	1	83.8732
5.2	1	1	82.8663
5.23333	1	1	82.7705
5.26667	1	1	83.1294
5.3	1	1	83.6392
5.33333	1	1	84.1456
5.36667	1	1	83.9695
5.4	1	1	82.707
5.43333	1	1	81.8839
5.46667	1	1	83.0587
5.5	1	1	86.3175
5.53333	1	1	90.1964
5.56667	1	1	93.1697
5.6	1	1	94.9542
5.63333	1	1	96.187
5.66667	1	1	97.1201
5.7	1	1	98.0902
5.73333	1	1	99.2993
5.76667	1	1	101.065
5.8	1	1	103.373
5.83333	1	1	105.216
5.86667	1	1	106.806
5.9	1	1	108.634
5.93333	1	1	110.687
5.96667	1	1	112.368
6	1	1	113.499
6.03333	1	1	113.743
6.06667	1	1	114.031
6.1	1	1	114.437
6.13333	1	1	114.398
6.16667	1	1	113.761
6.2	1	1	113.162
6.23333	1	1	113.395
