Time (sec)	Arena	Track	Pos. X (mm)	Pos. Y (mm)	Label
0.0333333	1	1	332.818	861.541	1
0.0333333	1	1	329.819	862.563	1
0.0666667	1	1	326.172	863.757	1
0.1	1	1	323.217	864.629	1
0.133333	1	1	320.76	865.132	1
0.166667	1	1	318.376	865.244	1
0.2	1	1	315.802	864.904	1
0.233333	1	1	312.927	864.034	1
0.266667	1	1	309.884	862.618	1
0.3	1	1	306.738	860.95	1
0.333333	1	1	303.548	859.233	1
0.366667	1	1	300.447	857.514	1
0.4	1	1	297.396	855.853	1
0.433333	1	1	294.25	854.174	1
0.466667	1	1	291.103	852.433	1
0.5	1	1	288.166	850.608	1
0.533333	1	1	285.318	848.445	1
0.566667	1	1	282.531	845.916	1
0.6	1	1	279.848	843.251	1
0.633333	1	1	277.118	840.507	1
0.666667	1	1	274.247	837.81	1
0.7	1	1	271.322	835.28	1
0.733333	1	1	268.359	832.774	1
0.766667	1	1	265.297	830.227	1
0.8	1	1	262.219	827.854	1
0.833333	1	1	259.188	825.543	1
0.866667	1	1	256.151	823.171	1
0.9	1	1	253.073	820.819	1
0.933333	1	1	250.062	818.691	1
0.966667	1	1	247.132	816.675	1
1	1	1	244.258	814.603	1
1.03333	1	1	241.366	812.399	1
1.06667	1	1	238.593	810.187	1
1.1	1	1	235.966	808.112	1
1.13333	1	1	233.288	806.168	1
1.16667	1	1	230.218	804.226	1
1.2	1	1	226.948	802.24	1
1.23333	1	1	223.837	800.341	1
1.26667	1	1	220.984	798.547	1
1.3	1	1	218.22	796.653	1
1.33333	1	1	215.52	794.396	1
1.36667	1	1	212.994	791.967	1
1.4	1	1	210.548	789.429	1
1.43333	1	1	208.016	786.735	1
1.46667	1	1	205.484	784.121	1
1.5	1	1	202.949	781.763	1
1.53333	1	1	200.198	779.386	1
1.56667	1	1	197.302	776.899	1
1.6	1	1	194.527	774.476	1
1.63333	1	1	191.761	772.062	1
1.66667	1	1	188.942	769.586	1
1.7	1	1	186.108	767.029	1
1.73333	1	1	183.261	764.512	1
1.76667	1	1	180.39	762.096	1
1.8	1	1	177.539	759.818	1
1.83333	1	1	174.597	757.611	1
1.86667	1	1	171.476	755.432	1
1.9	1	1	168.289	753.303	1
1.93333	1	1	165.199	751.261	1
1.96667	1	1	162.2	749.285	1
2	1	1	159.2	747.324	1
2.03333	1	1	156.198	745.347	1
2.06667	1	1	153.199	743.325	1
