Time (sec)	Arena	Track	Current Accel (mm/s^2)
0.4	1	1	16.3462
0.433333	1	1	10.3941
0.466667	1	1	11.4449
0.5	1	1	12.5701
0.533333	1	1	13.0401
0.566667	1	1	12.373
0.6	1	1	12.8357
0.633333	1	1	12.5476
0.666667	1	1	11.8511
0.7	1	1	11.5701
0.733333	1	1	10.5401
0.766667	1	1	8.60627
0.8	1	1	7.78565
0.833333	1	1	8.08379
0.866667	1	1	7.21802
0.9	1	1	5.4799
0.933333	1	1	2.71862
0.966667	1	1	1.44907
1	1	1	1.57127
1.03333	1	1	3.5759
1.06667	1	1	4.58744
1.1	1	1	3.8697
1.13333	1	1	4.21691
1.16667	1	1	6.02376
1.2	1	1	6.65338
1.23333	1	1	5.93477
1.26667	1	1	5.98941
1.3	1	1	6.41727
1.33333	1	1	8.32769
1.36667	1	1	8.86701
1.4	1	1	6.86601
1.43333	1	1	4.98329
1.46667	1	1	6.94176
1.5	1	1	9.91193
1.53333	1	1	11.585
1.56667	1	1	13.0353
1.6	1	1	14.8103
1.63333	1	1	17.0986
1.66667	1	1	20.2533
1.7	1	1	23.5011
1.73333	1	1	25.4848
1.76667	1	1	28.2727
1.8	1	1	31.8964
1.83333	1	1	32.7824
1.86667	1	1	29.3906
1.9	1	1	25.8694
1.93333	1	1	23.1112
1.96667	1	1	20.6379
2	1	1	18.0345
2.03333	1	1	13.3008
2.06667	1	1	6.31022
2.1	1	1	0.487585
2.13333	1	1	6.74007
2.16667	1	1	14.2296
2.2	1	1	22.325
2.23333	1	1	27.4172
2.26667	1	1	19.9933
2.3	1	1	6.82283
2.33333	1	1	0.486295
2.36667	1	1	3.00335
2.4	1	1	11.9577
2.43333	1	1	22.3787
2.46667	1	1	29.4702
2.5	1	1	35.0256
2.53333	1	1	41.862
2.56667	1	1	47.3552
2.6	1	1	46.6805
2.63333	1	1	43.788
2.66667	1	1	45.0952
2.7	1	1	46.8184
2.73333	1	1	46.1179
2.76667	1	1	39.6694
2.8	1	1	23.0261
2.83333	1	1	1.26269
2.86667	1	1	15.234
2.9	1	1	26.693
2.93333	1	1	35.8529
2.96667	1	1	40.6825
3	1	1	38.3544
3.03333	1	1	33.5805
3.06667	1	1	28.862
3.1	1	1	16.3335
3.13333	1	1	2.50852
3.16667	1	1	4.09134
3.2	1	1	16.4039
3.23333	1	1	30.5977
3.26667	1	1	40.5022
3.3	1	1	46.8368
3.33333	1	1	49.5305
3.36667	1	1	47.4891
3.4	1	1	43.1954
3.43333	1	1	40.0284
3.46667	1	1	43.244
3.5	1	1	42.8564
3.53333	1	1	38.1783
3.56667	1	1	36.5333
3.6	1	1	32.8377
3.63333	1	1	28.3301
3.66667	1	1	25.4033
3.7	1	1	22.1653
3.73333	1	1	19.0071
3.76667	1	1	17.4808
3.8	1	1	16.0878
3.83333	1	1	14.5742
3.86667	1	1	13.4162
3.9	1	1	12.724
3.93333	1	1	11.3921
3.96667	1	1	9.69538
4	1	1	8.13794
4.03333	1	1	7.2387
4.06667	1	1	5.57706
4.1	1	1	4.00677
4.13333	1	1	2.39307
4.16667	1	1	0.108814
4.2	1	1	3.47438
4.23333	1	1	6.73146
4.26667	1	1	8.18134
4.3	1	1	8.18181
4.33333	1	1	8.45046
4.36667	1	1	8.25972
4.4	1	1	6.31075
4.43333	1	1	4.33917
4.46667	1	1	3.11832
4.5	1	1	1.85512
4.53333	1	1	0.927257
4.56667	1	1	0.362053
4.6	1	1	2.83926
4.63333	1	1	4.88149
4.66667	1	1	4.34849
4.7	1	1	3.5864
4.73333	1	1	4.33588
4.76667	1	1	4.41776
4.8	1	1	2.31243
4.83333	1	1	1.22457
4.86667	1	1	5.05781
4.9	1	1	9.7378
4.93333	1	1	14.31
4.96667	1	1	18.9474
5	1	1	23.7622
5.03333	1	1	27.3906
5.06667	1	1	29.2394
5.1	1	1	31.3456
5.13333	1	1	33.6951
5.16667	1	1	35.6392
5.2	1	1	36.6719
5.23333	1	1	35.1687
5.26667	1	1	30.8921
5.3	1	1	25.2607
5.33333	1	1	20.6581
5.36667	1	1	17.7478
5.4	1	1	15.8812
5.43333	1	1	13.8976
5.46667	1	1	12.9843
5.5	1	1	14.6946
5.53333	1	1	18.3409
5.56667	1	1	20.7747
5.6	1	1	22.1349
5.63333	1	1	24.3989
5.66667	1	1	27.1117
5.7	1	1	28.7087
5.73333	1	1	26.774
5.76667	1	1	22.9067
5.8	1	1	18.5628
5.83333	1	1	15.6033
5.86667	1	1	13.5809
5.9	1	1	10.3005
5.93333	1	1	5.82695
5.96667	1	1	1.60561
6	1	1	2.57365
6.03333	1	1	6.66164
6.06667	1	1	8.63784
6.1	1	1	8.11491
6.13333	1	1	4.77718
6.16667	1	1	0.921608
6.2	1	1	3.50696
6.23333	1	1	7.66035
6.26667	1	1	9.12677
6.3	1	1	9.09644
6.33333	1	1	9.15454
6.36667	1	1	9.7016
6.4	1	1	10.4557
6.43333	1	1	12.5095
6.46667	1	1	14.5196
6.5	1	1	15.6046
6.53333	1	1	16.4462
6.56667	1	1	16.4473
6.6	1	1	13.5179
6.63333	1	1	9.28227
6.66667	1	1	8.12541
6.7	1	1	8.57938
6.73333	1	1	9.45187
6.76667	1	1	10.3552
6.8	1	1	11.8507
6.83333	1	1	11.3251
6.86667	1	1	8.60802
6.9	1	1	5.11153
6.93333	1	1	1.09632
6.96667	1	1	1.8381
7	1	1	2.36589
7.03333	1	1	1.29855
7.06667	1	1	2.78487
7.1	1	1	6.4896
7.13333	1	1	12.0486
7.16667	1	1	16.5245
7.2	1	1	20.3478
7.23333	1	1	23.132
7.26667	1	1	24.2306
7.3	1	1	23.6119
7.33333	1	1	22.9049
7.36667	1	1	23.0157
7.4	1	1	22.9511
7.43333	1	1	23.481
7.46667	1	1	23.7645
7.5	1	1	22.9712
7.53333	1	1	19.4363
7.56667	1	1	15.1516
7.6	1	1	10.5326
7.63333	1	1	5.62039
7.66667	1	1	1.09496
7.7	1	1	1.65074
7.73333	1	1	3.88175
7.76667	1	1	6.64576
7.8	1	1	8.66146
7.83333	1	1	11.6936
7.86667	1	1	17.4637
7.9	1	1	24.8465
7.93333	1	1	31.6875
7.96667	1	1	39.0737
8	1	1	46.7442
8.03333	1	1	51.8331
8.06667	1	1	53.9219
8.1	1	1	56.1141
8.13333	1	1	59.912
8.16667	1	1	64.0289
8.2	1	1	65.2757
8.23333	1	1	59.7611
8.26667	1	1	51.1484
8.3	1	1	41.9481
8.33333	1	1	34.108
8.36667	1	1	26.4668
8.4	1	1	16.2606
8.43333	1	1	8.27791
8.46667	1	1	5.51436
8.5	1	1	3.57908
8.53333	1	1	0.680847
8.56667	1	1	6.57679
8.6	1	1	9.07185
8.63333	1	1	4.61377
8.66667	1	1	0.822057
8.7	1	1	4.47328
8.73333	1	1	6.23486
8.76667	1	1	6.69638
8.8	1	1	7.11199
8.83333	1	1	5.3937
8.86667	1	1	2.43851
8.9	1	1	0.480179
8.93333	1	1	2.84983
8.96667	1	1	3.86452
9	1	1	4.35012
9.03333	1	1	5.18617
9.06667	1	1	5.88905
9.1	1	1	6.08806
9.13333	1	1	6.88888
9.16667	1	1	8.50084
9.2	1	1	8.75945
9.23333	1	1	7.1995
9.26667	1	1	5.67367
9.3	1	1	2.87402
9.33333	1	1	1.78783
9.36667	1	1	6.42813
9.4	1	1	9.61634
9.43333	1	1	10.9792
9.46667	1	1	11.5851
9.5	1	1	12.6861
9.53333	1	1	13.1637
9.56667	1	1	13.0252
9.6	1	1	12.6573
9.63333	1	1	12.029
9.66667	1	1	9.52376
9.7	1	1	6.50374
9.73333	1	1	4.30374
9.76667	1	1	3.24727
9.8	1	1	2.47272
9.83333	1	1	2.33418
9.86667	1	1	2.09931
9.9	1	1	0.68534
9.93333	1	1	0.170971
9.96667	1	1	0.55611
10	1	1	0.314706
10.0333	1	1	0.57117
