Time (sec)	Arena	Track	Current Speed (mm/sec)
0.2	1	1	41.3708
0.233333	1	1	38.6189
0.266667	1	1	38.5106
0.3	1	1	38.3771
0.333333	1	1	37.9406
0.366667	1	1	37.2854
0.4	1	1	37.1351
0.433333	1	1	37.0566
0.466667	1	1	36.8266
0.5	1	1	36.4584
0.533333	1	1	35.9135
0.566667	1	1	35.2908
0.6	1	1	34.8323
0.633333	1	1	34.4613
0.666667	1	1	33.9327
0.7	1	1	33.3491
0.733333	1	1	32.7246
0.766667	1	1	32.3362
0.8	1	1	32.0009
0.833333	1	1	32.0376
0.866667	1	1	32.0861
0.9	1	1	31.8304
0.933333	1	1	31.6975
0.966667	1	1	31.8483
1	1	1	31.718
1.03333	1	1	31.2277
1.06667	1	1	31.0455
1.1	1	1	31.1571
1.13333	1	1	31.6371
1.16667	1	1	31.7565
1.2	1	1	31.3723
1.23333	1	1	30.6073
1.26667	1	1	30.2511
1.3	1	1	30.2825
1.33333	1	1	30.0108
1.36667	1	1	29.4388
1.4	1	1	29.0567
1.43333	1	1	28.8538
1.46667	1	1	28.6497
1.5	1	1	28.5902
1.53333	1	1	28.306
1.56667	1	1	28.2097
1.6	1	1	28.6259
1.63333	1	1	28.6139
1.66667	1	1	27.4744
1.7	1	1	26.3177
1.73333	1	1	25.3768
1.76667	1	1	24.2247
1.8	1	1	23.1326
1.83333	1	1	22.0144
1.86667	1	1	20.5484
1.9	1	1	19.1898
1.93333	1	1	18.1121
1.96667	1	1	16.9007
2	1	1	15.8674
2.03333	1	1	15.501
2.06667	1	1	15.7182
2.1	1	1	15.9699
2.13333	1	1	16.1323
2.16667	1	1	15.9696
2.2	1	1	15.9187
2.23333	1	1	16.6941
2.26667	1	1	18.0243
2.3	1	1	19.3848
2.33333	1	1	20.8082
2.36667	1	1	22.5925
2.4	1	1	24.7974
2.43333	1	1	26.4679
2.46667	1	1	23.7155
2.5	1	1	18.6991
2.53333	1	1	15.9378
2.56667	1	1	17.1709
2.6	1	1	20.7018
2.63333	1	1	25.6455
2.66667	1	1	29.8124
2.7	1	1	33.3951
2.73333	1	1	37.553
2.76667	1	1	41.5346
2.8	1	1	43.4696
2.83333	1	1	43.983
2.86667	1	1	41.7536
2.9	1	1	37.4264
2.93333	1	1	34.3849
2.96667	1	1	33.0387
3	1	1	29.9123
3.03333	1	1	26.1506
3.06667	1	1	23.7188
3.1	1	1	22.7179
3.13333	1	1	23.2118
3.16667	1	1	25.2616
3.2	1	1	28.1278
3.23333	1	1	30.5508
3.26667	1	1	30.2088
3.3	1	1	30.893
3.33333	1	1	33.3815
3.36667	1	1	34.6752
3.4	1	1	36.4739
3.43333	1	1	38.3897
3.46667	1	1	39.9197
3.5	1	1	41.4526
3.53333	1	1	43.024
3.56667	1	1	44.2573
3.6	1	1	45.4059
3.63333	1	1	46.5622
3.66667	1	1	47.5064
3.7	1	1	48.0356
3.73333	1	1	48.6528
3.76667	1	1	49.2885
3.8	1	1	49.6089
3.83333	1	1	49.7217
3.86667	1	1	50.081
3.9	1	1	50.3187
3.93333	1	1	50.6269
3.96667	1	1	51.2496
4	1	1	51.8411
4.03333	1	1	52.3919
4.06667	1	1	52.8729
4.1	1	1	53.1252
4.13333	1	1	53.2097
4.16667	1	1	53.1667
4.2	1	1	52.8641
4.23333	1	1	52.6172
4.26667	1	1	52.3118
4.3	1	1	51.9215
4.33333	1	1	51.5841
4.36667	1	1	51.2061
4.4	1	1	50.4513
4.43333	1	1	49.6993
4.46667	1	1	49.6004
4.5	1	1	49.8525
4.53333	1	1	49.8295
4.56667	1	1	49.8628
4.6	1	1	50.3398
4.63333	1	1	50.8815
4.66667	1	1	51.0645
