Time (sec)	Arena	Track	Pos. X (mm)	Pos. Y (mm)	Label
0.0333333	1	1	270.728	1021.95	1
0.0333333	1	1	270.494	1022.95	1
0.0666667	1	1	270.202	1024.3	1
0.1	1	1	270.04	1025.6	1
0.133333	1	1	269.943	1026.93	1
0.166667	1	1	269.831	1028.28	1
0.2	1	1	269.719	1029.54	1
0.233333	1	1	269.613	1030.78	1
0.266667	1	1	269.537	1032	1
0.3	1	1	269.586	1033.23	1
0.333333	1	1	269.728	1034.53	1
0.366667	1	1	269.863	1035.83	1
0.4	1	1	270.044	1037.11	1
0.433333	1	1	270.351	1038.39	1
0.466667	1	1	270.713	1039.69	1
0.5	1	1	271.1	1040.92	1
0.533333	1	1	271.61	1042.01	1
0.566667	1	1	272.183	1043	1
0.6	1	1	272.757	1044.08	1
0.633333	1	1	273.366	1045.11	1
0.666667	1	1	274.079	1046.01	1
0.7	1	1	274.83	1046.84	1
0.733333	1	1	275.617	1047.63	1
0.766667	1	1	276.434	1048.32	1
0.8	1	1	277.321	1048.99	1
0.833333	1	1	278.256	1049.69	1
0.866667	1	1	279.217	1050.27	1
0.9	1	1	280.154	1050.71	1
0.933333	1	1	281.033	1051.1	1
0.966667	1	1	281.953	1051.48	1
1	1	1	282.952	1051.82	1
1.03333	1	1	284.069	1052.16	1
1.06667	1	1	285.166	1052.48	1
1.1	1	1	286.163	1052.64	1
1.13333	1	1	287.242	1052.69	1
1.16667	1	1	288.396	1052.7	1
1.2	1	1	289.456	1052.69	1
1.23333	1	1	290.391	1052.64	1
1.26667	1	1	291.415	1052.6	1
1.3	1	1	292.487	1052.51	1
1.33333	1	1	293.632	1052.28	1
1.36667	1	1	294.648	1051.93	1
1.4	1	1	295.498	1051.55	1
1.43333	1	1	296.271	1051.16	1
1.46667	1	1	297.128	1050.65	1
1.5	1	1	297.995	1050.05	1
1.53333	1	1	298.787	1049.4	1
1.56667	1	1	299.501	1048.79	1
1.6	1	1	300.159	1048.16	1
1.63333	1	1	300.745	1047.55	1
1.66667	1	1	301.324	1046.84	1
1.7	1	1	301.862	1045.96	1
1.73333	1	1	302.284	1044.98	1
1.76667	1	1	302.618	1043.94	1
1.8	1	1	302.88	1042.79	1
1.83333	1	1	302.932	1041.85	1
1.86667	1	1	302.787	1041.23	1
1.9	1	1	302.56	1040.56	1
1.93333	1	1	302.219	1039.85	1
1.96667	1	1	301.694	1039.35	1
2	1	1	301.199	1038.96	1
2.03333	1	1	300.952	1038.74	1
2.06667	1	1	300.676	1038.65	1
2.1	1	1	300.138	1038.48	1
2.13333	1	1	299.517	1038.29	1
2.16667	1	1	298.998	1038.23	1
2.2	1	1	298.468	1038.23	1
2.23333	1	1	297.877	1038.26	1
2.26667	1	1	297.194	1038.36	1
2.3	1	1	296.518	1038.49	1
2.33333	1	1	295.875	1038.67	1
2.36667	1	1	295.323	1038.9	1
2.4	1	1	294.835	1039.15	1
2.43333	1	1	294.315	1039.48	1
2.46667	1	1	293.652	1040.28	1
2.5	1	1	292.962	1041.42	1
2.53333	1	1	292.299	1042.43	1
2.56667	1	1	291.655	1043.5	1
2.6	1	1	291.068	1044.84	1
2.63333	1	1	290.559	1045.92	1
2.66667	1	1	290.413	1044.99	1
2.7	1	1	290.516	1042.95	1
2.73333	1	1	290.492	1042.09	1
2.76667	1	1	290.147	1043.41	1
2.8	1	1	289.743	1045.68	1
2.83333	1	1	289.312	1048.44	1
2.86667	1	1	288.898	1051.21	1
2.9	1	1	288.57	1054.03	1
2.93333	1	1	288.427	1056.94	1
2.96667	1	1	288.478	1059.81	1
3	1	1	288.706	1062.06	1
3.03333	1	1	289.127	1063.45	1
3.06667	1	1	290.028	1061.69	1
3.1	1	1	291.311	1057.9	1
3.13333	1	1	292.449	1055.7	1
3.16667	1	1	293.25	1056.26	1
3.2	1	1	294.009	1056.86	1
3.23333	1	1	294.777	1057.36	1
3.26667	1	1	295.62	1057.91	1
3.3	1	1	296.553	1058.38	1
3.33333	1	1	297.53	1058.77	1
3.36667	1	1	298.564	1059.19	1
3.4	1	1	299.685	1059.6	1
3.43333	1	1	300.845	1059.98	1
3.46667	1	1	302.042	1060.39	1
3.5	1	1	303.341	1060.73	1
3.53333	1	1	304.713	1060.98	1
3.56667	1	1	306.207	1061.21	1
3.6	1	1	307.855	1061.46	1
3.63333	1	1	309.511	1061.68	1
3.66667	1	1	311.092	1061.86	1
3.7	1	1	312.742	1061.96	1
3.73333	1	1	314.432	1062.01	1
3.76667	1	1	316.046	1061.98	1
3.8	1	1	317.704	1061.88	1
3.83333	1	1	319.387	1061.74	1
3.86667	1	1	321.015	1061.44	1
3.9	1	1	322.553	1061	1
3.93333	1	1	324.169	1060.54	1
3.96667	1	1	325.888	1060.06	1
4	1	1	327.604	1059.52	1
4.03333	1	1	329.227	1059.07	1
4.06667	1	1	330.849	1058.55	1
4.1	1	1	332.451	1057.88	1
4.13333	1	1	334.083	1057.12	1
4.16667	1	1	335.784	1056.44	1
4.2	1	1	337.502	1055.71	1
4.23333	1	1	339.187	1054.87	1
4.26667	1	1	340.858	1054.12	1
4.3	1	1	342.448	1053.53	1
4.33333	1	1	344.051	1052.94	1
4.36667	1	1	345.682	1052.28	1
4.4	1	1	347.231	1051.66	1
4.43333	1	1	348.678	1051.03	1
4.46667	1	1	350.109	1050.37	1
4.5	1	1	351.54	1049.7	1
4.53333	1	1	353.033	1048.96	1
4.56667	1	1	354.509	1048.14	1
4.6	1	1	355.88	1047.37	1
4.63333	1	1	357.301	1046.68	1
4.66667	1	1	358.882	1045.83	1
4.7	1	1	360.443	1044.94	1
4.73333	1	1	361.947	1044.17	1
4.76667	1	1	363.566	1043.45	1
4.8	1	1	365.287	1042.74	1
4.83333	1	1	366.96	1042.08	1
4.86667	1	1	368.512	1041.5	1
4.9	1	1	370.069	1040.99	1
4.93333	1	1	371.698	1040.52	1
4.96667	1	1	373.376	1040.02	1
5	1	1	374.997	1039.61	1
5.03333	1	1	376.596	1039.3	1
5.06667	1	1	378.275	1039.08	1
5.1	1	1	380.052	1038.91	1
5.13333	1	1	381.873	1038.84	1
5.16667	1	1	383.73	1038.99	1
5.2	1	1	385.526	1039.44	1
5.23333	1	1	387.017	1040.08	1
5.26667	1	1	388.117	1040.82	1
5.3	1	1	388.968	1041.74	1
5.33333	1	1	389.749	1042.81	1
5.36667	1	1	390.437	1043.95	1
5.4	1	1	390.857	1045.24	1
5.43333	1	1	391.131	1046.63	1
5.46667	1	1	391.346	1048.05	1
5.5	1	1	391.349	1049.52	1
5.53333	1	1	391.048	1051	1
5.56667	1	1	390.599	1052.27	1
5.6	1	1	390.078	1053.36	1
5.63333	1	1	389.466	1054.41	1
5.66667	1	1	388.738	1055.48	1
5.7	1	1	387.877	1056.57	1
5.73333	1	1	387.026	1057.45	1
5.76667	1	1	386.187	1057.99	1
5.8	1	1	385.204	1058.37	1
5.83333	1	1	383.991	1058.73	1
5.86667	1	1	382.756	1058.83	1
5.9	1	1	381.741	1058.5	1
5.93333	1	1	380.858	1057.89	1
5.96667	1	1	380.087	1057.23	1
6	1	1	379.468	1056.61	1
6.03333	1	1	378.953	1055.95	1
6.06667	1	1	378.408	1055.13	1
6.1	1	1	377.886	1054.15	1
6.13333	1	1	377.338	1053.13	1
6.16667	1	1	376.872	1052.13	1
6.2	1	1	376.469	1051.17	1
6.23333	1	1	376.091	1050.3	1
6.26667	1	1	375.81	1049.53	1
6.3	1	1	375.671	1048.73	1
6.33333	1	1	375.572	1047.82	1
6.36667	1	1	375.466	1046.85	1
6.4	1	1	375.276	1045.89	1
6.43333	1	1	375.032	1044.93	1
6.46667	1	1	374.804	1043.98	1
6.5	1	1	374.582	1043.06	1
6.53333	1	1	374.372	1042.16	1
6.56667	1	1	374.182	1041.31	1
6.6	1	1	374.079	1040.68	1
6.63333	1	1	374.035	1040.17	1
6.66667	1	1	373.983	1039.55	1
6.7	1	1	373.938	1038.84	1
6.73333	1	1	373.927	1038.06	1
6.76667	1	1	373.861	1037.16	1
6.8	1	1	373.687	1036.18	1
6.83333	1	1	373.457	1035.37	1
6.86667	1	1	373.267	1034.71	1
6.9	1	1	373.201	1034.08	1
6.93333	1	1	373.201	1033.49	1
6.96667	1	1	373.203	1032.85	1
7	1	1	373.207	1032.12	1
7.03333	1	1	373.235	1031.36	1
7.06667	1	1	373.289	1030.73	1
7.1	1	1	373.338	1030.19	1
7.13333	1	1	373.418	1029.68	1
7.16667	1	1	373.58	1029.01	1
7.2	1	1	373.797	1028.24	1
7.23333	1	1	374.076	1027.52	1
7.26667	1	1	374.386	1026.77	1
7.3	1	1	374.629	1025.94	1
7.33333	1	1	374.842	1025.09	1
7.36667	1	1	375.152	1024.25	1
7.4	1	1	375.466	1023.43	1
7.43333	1	1	375.624	1022.62	1
7.46667	1	1	375.654	1021.74	1
7.5	1	1	375.64	1020.75	1
7.53333	1	1	375.606	1019.6	1
7.56667	1	1	375.545	1018.38	1
7.6	1	1	375.48	1017.18	1
7.63333	1	1	375.435	1016.02	1
7.66667	1	1	375.414	1014.92	1
7.7	1	1	375.407	1013.93	1
7.73333	1	1	375.355	1012.87	1
7.76667	1	1	375.295	1011.76	1
7.8	1	1	375.267	1010.79	1
7.83333	1	1	375.207	1009.82	1
7.86667	1	1	375.087	1008.66	1
7.9	1	1	375.005	1007.38	1
7.93333	1	1	374.938	1006.19	1
7.96667	1	1	374.832	1005.17	1
8	1	1	374.706	1004.32	1
8.03333	1	1	374.56	1003.57	1
8.06667	1	1	374.426	1002.89	1
8.1	1	1	374.313	1002.2	1
8.13333	1	1	374.178	1001.32	1
8.16667	1	1	374.043	1000.39	1
8.2	1	1	373.888	999.61	1
8.23333	1	1	373.58	999	1
8.26667	1	1	373.146	998.544	1
8.3	1	1	372.642	998.272	1
8.33333	1	1	372.327	998.249	1
8.36667	1	1	372.485	998.604	1
8.4	1	1	373.017	999.189	1
8.43333	1	1	373.577	999.502	1
8.46667	1	1	374.029	999.475	1
8.5	1	1	374.384	999.407	1
8.53333	1	1	374.554	999.337	1
8.56667	1	1	374.556	999.32	1
8.6	1	1	374.655	999.323	1
8.63333	1	1	374.94	999.229	1
8.66667	1	1	375.205	999.038	1
8.7	1	1	375.249	998.969	1
8.73333	1	1	375.155	998.894	1
8.76667	1	1	375.226	998.579	1
