Time (sec)	Arena	Track	Current Accel (mm/s^2)
0.4	1	1	5.4766
0.433333	1	1	6.06249
0.466667	1	1	9.48251
0.5	1	1	7.78375
0.533333	1	1	6.37334
0.566667	1	1	1.73612
0.6	1	1	0.28104
0.633333	1	1	1.28257
0.666667	1	1	4.89733
0.7	1	1	5.16725
0.733333	1	1	5.73435
0.766667	1	1	4.402
0.8	1	1	6.35303
0.833333	1	1	6.97924
0.866667	1	1	5.61755
0.9	1	1	4.14473
0.933333	1	1	1.83708
0.966667	1	1	2.0813
1	1	1	8.70928
1.03333	1	1	16.3824
1.06667	1	1	26.7479
1.1	1	1	34.3878
1.13333	1	1	41.6589
1.16667	1	1	43.7532
1.2	1	1	48.8459
1.23333	1	1	56.9311
1.26667	1	1	66.5699
1.3	1	1	74.4871
1.33333	1	1	79.4094
1.36667	1	1	80.1741
1.4	1	1	76.1334
1.43333	1	1	69.7037
1.46667	1	1	62.488
1.5	1	1	53.2558
1.53333	1	1	44.0375
1.56667	1	1	38.347
1.6	1	1	33.2839
1.63333	1	1	24.1155
1.66667	1	1	12.9307
1.7	1	1	5.20686
1.73333	1	1	0.083704
1.76667	1	1	2.73652
1.8	1	1	4.56717
1.83333	1	1	6.64442
1.86667	1	1	7.83683
1.9	1	1	5.47972
1.93333	1	1	2.29574
1.96667	1	1	2.46947
2	1	1	4.18941
2.03333	1	1	4.25121
2.06667	1	1	3.87572
2.1	1	1	4.7246
2.13333	1	1	5.66528
2.16667	1	1	7.6642
2.2	1	1	9.11893
2.23333	1	1	7.06905
2.26667	1	1	4.49457
2.3	1	1	5.5144
2.33333	1	1	8.06558
2.36667	1	1	9.1648
2.4	1	1	8.12621
2.43333	1	1	5.76562
2.46667	1	1	3.76242
2.5	1	1	3.12366
2.53333	1	1	3.50756
2.56667	1	1	2.04463
2.6	1	1	0.321846
2.63333	1	1	0.973615
2.66667	1	1	4.39387
2.7	1	1	4.50425
2.73333	1	1	1.60038
2.76667	1	1	0.450859
2.8	1	1	0.0683784
2.83333	1	1	2.06293
2.86667	1	1	3.1848
2.9	1	1	4.03883
2.93333	1	1	4.22892
2.96667	1	1	4.58131
3	1	1	4.96996
3.03333	1	1	3.23597
3.06667	1	1	0.255442
3.1	1	1	0.243401
3.13333	1	1	2.55283
3.16667	1	1	3.53165
3.2	1	1	2.37776
3.23333	1	1	0.908776
3.26667	1	1	0.851407
3.3	1	1	0.0700998
3.33333	1	1	1.74531
3.36667	1	1	2.38253
3.4	1	1	1.27527
3.43333	1	1	0.372033
3.46667	1	1	0.495033
3.5	1	1	0.887656
3.53333	1	1	0.363641
3.56667	1	1	1.51846
3.6	1	1	1.99566
3.63333	1	1	1.88715
3.66667	1	1	1.57669
3.7	1	1	2.12668
3.73333	1	1	6.28817
3.76667	1	1	10.1543
3.8	1	1	11.0539
3.83333	1	1	12.1088
3.86667	1	1	15.7213
3.9	1	1	18.3878
3.93333	1	1	16.4628
3.96667	1	1	14.4871
4	1	1	16.1256
4.03333	1	1	19.6885
4.06667	1	1	20.716
4.1	1	1	19.342
4.13333	1	1	14.7195
4.16667	1	1	9.90871
4.2	1	1	9.0119
4.23333	1	1	9.73962
4.26667	1	1	6.23424
4.3	1	1	0.480929
4.33333	1	1	1.48814
4.36667	1	1	1.30592
4.4	1	1	4.33195
4.43333	1	1	10.3747
4.46667	1	1	15.0719
4.5	1	1	16.8344
4.53333	1	1	16.7972
4.56667	1	1	14.3213
4.6	1	1	12.9773
4.63333	1	1	14.1008
4.66667	1	1	14.7596
4.7	1	1	10.6493
4.73333	1	1	5.85199
4.76667	1	1	3.26239
4.8	1	1	1.39864
4.83333	1	1	2.29044
4.86667	1	1	7.33389
4.9	1	1	9.05456
4.93333	1	1	8.15329
4.96667	1	1	2.28081
5	1	1	5.68409
5.03333	1	1	10.9309
5.06667	1	1	9.00311
5.1	1	1	11.0755
5.13333	1	1	16.6864
5.16667	1	1	19.6527
5.2	1	1	19.9537
5.23333	1	1	21.7226
5.26667	1	1	24.304
5.3	1	1	22.5263
5.33333	1	1	18.965
5.36667	1	1	13.7929
5.4	1	1	9.48274
5.43333	1	1	6.53169
5.46667	1	1	9.36638
5.5	1	1	9.48736
5.53333	1	1	7.20131
5.56667	1	1	6.59009
5.6	1	1	7.35097
5.63333	1	1	7.35914
5.66667	1	1	8.53362
5.7	1	1	12.0284
5.73333	1	1	15.8135
5.76667	1	1	18.4136
5.8	1	1	17.0617
5.83333	1	1	15.529
5.86667	1	1	13.9621
5.9	1	1	13.5339
5.93333	1	1	14.5126
5.96667	1	1	16.8346
6	1	1	16.451
6.03333	1	1	14.2397
6.06667	1	1	12.6589
6.1	1	1	11.5372
6.13333	1	1	8.19622
6.16667	1	1	4.43866
6.2	1	1	4.33116
6.23333	1	1	4.74481
6.26667	1	1	3.4844
6.3	1	1	0.957737
6.33333	1	1	1.7812
6.36667	1	1	5.78887
6.4	1	1	6.83608
6.43333	1	1	5.69679
6.46667	1	1	6.18285
6.5	1	1	8.57178
6.53333	1	1	9.03067
6.56667	1	1	7.60837
6.6	1	1	8.59713
6.63333	1	1	11.422
6.66667	1	1	14.4671
6.7	1	1	17.5314
6.73333	1	1	18.513
6.76667	1	1	13.3713
6.8	1	1	8.76189
6.83333	1	1	8.87018
6.86667	1	1	9.65252
6.9	1	1	9.72362
6.93333	1	1	9.33682
6.96667	1	1	8.66623
7	1	1	6.20077
7.03333	1	1	2.26321
7.06667	1	1	3.49133
7.1	1	1	12.0856
7.13333	1	1	14.5337
7.16667	1	1	6.02434
7.2	1	1	0.432196
7.23333	1	1	2.37898
7.26667	1	1	5.42681
7.3	1	1	8.19169
7.33333	1	1	10.2988
7.36667	1	1	10.5741
7.4	1	1	9.14525
7.43333	1	1	7.47029
7.46667	1	1	5.77152
7.5	1	1	3.05877
7.53333	1	1	4.79324
7.56667	1	1	11.3075
7.6	1	1	13.2918
7.63333	1	1	8.40653
7.66667	1	1	5.61019
7.7	1	1	4.40973
7.73333	1	1	2.14068
7.76667	1	1	0.871334
7.8	1	1	0.272198
7.83333	1	1	1.25518
7.86667	1	1	0.868519
7.9	1	1	0.307751
7.93333	1	1	1.70629
7.96667	1	1	4.69098
8	1	1	4.65361
8.03333	1	1	2.60937
8.06667	1	1	2.70214
8.1	1	1	3.14112
8.13333	1	1	0.889139
8.16667	1	1	0.144711
8.2	1	1	1.85292
8.23333	1	1	3.00649
8.26667	1	1	1.25879
8.3	1	1	2.04642
8.33333	1	1	1.37655
8.36667	1	1	1.01581
8.4	1	1	2.11255
8.43333	1	1	0.281324
8.46667	1	1	2.28941
8.5	1	1	3.59167
8.53333	1	1	5.1445
8.56667	1	1	6.77575
8.6	1	1	8.99076
8.63333	1	1	9.75279
8.66667	1	1	9.58387
8.7	1	1	9.51779
8.73333	1	1	10.8704
8.76667	1	1	13.1846
8.8	1	1	14.8288
8.83333	1	1	12.8985
8.86667	1	1	8.83417
