Time (sec)	Arena	Track	Current Speed (mm/sec)
0.2	1	1	2.07482
0.233333	1	1	2.03515
0.266667	1	1	0
0.3	1	1	0
0.333333	1	1	0
0.366667	1	1	1.37416
0.4	1	1	1.78639
0.433333	1	1	1.84997
0.466667	1	1	1.95893
0.5	1	1	2.0669
0.533333	1	1	2.29374
0.566667	1	1	3.22458
0.6	1	1	4.26546
0.633333	1	1	4.46015
0.666667	1	1	3.793
0.7	1	1	3.1135
0.733333	1	1	2.54934
0.766667	1	1	2.06861
0.8	1	1	1.67398
0.833333	1	1	1.33694
0.866667	1	1	0
0.9	1	1	0
0.933333	1	1	0
0.966667	1	1	1.46378
1	1	1	1.72425
1.03333	1	1	1.66845
1.06667	1	1	1.54598
1.1	1	1	1.45561
1.13333	1	1	1.8145
1.16667	1	1	2.90113
1.2	1	1	5.15769
1.23333	1	1	7.88992
1.26667	1	1	10.6992
1.3	1	1	13.7551
1.33333	1	1	16.6636
1.36667	1	1	18.9651
1.4	1	1	21.2626
1.43333	1	1	24.4409
1.46667	1	1	28.1739
1.5	1	1	31.2505
1.53333	1	1	33.5783
1.56667	1	1	34.9708
1.6	1	1	35.6111
1.63333	1	1	35.7714
1.66667	1	1	35.6943
1.7	1	1	35.0575
1.73333	1	1	34.2786
1.76667	1	1	34.3038
1.8	1	1	34.5762
1.83333	1	1	34.0871
1.86667	1	1	33.3462
1.9	1	1	33.3332
1.93333	1	1	33.6117
1.96667	1	1	33.8762
2	1	1	33.7842
2.03333	1	1	33.1136
2.06667	1	1	32.5596
2.1	1	1	32.8656
2.13333	1	1	33.3603
2.16667	1	1	33.3161
2.2	1	1	32.9004
2.23333	1	1	32.3866
2.26667	1	1	31.7959
2.3	1	1	31.4434
2.33333	1	1	31.3456
2.36667	1	1	30.8105
2.4	1	1	30.1366
2.43333	1	1	30.286
2.46667	1	1	30.7618
2.5	1	1	30.6598
2.53333	1	1	30.134
2.56667	1	1	29.6501
2.6	1	1	29.6499
2.63333	1	1	30.0804
2.66667	1	1	30.291
2.7	1	1	30.1939
2.73333	1	1	29.9426
2.76667	1	1	29.9926
2.8	1	1	30.2654
2.83333	1	1	29.8966
2.86667	1	1	29.0042
2.9	1	1	28.8581
2.93333	1	1	29.4939
2.96667	1	1	29.8305
3	1	1	29.6226
3.03333	1	1	29.2552
3.06667	1	1	29.0171
3.1	1	1	28.5784
3.13333	1	1	28.251
3.16667	1	1	28.1601
3.2	1	1	28.2774
3.23333	1	1	28.6022
3.26667	1	1	28.9021
3.3	1	1	28.7607
3.33333	1	1	28.4728
3.36667	1	1	28.4178
3.4	1	1	28.6715
3.43333	1	1	28.8917
3.46667	1	1	28.6765
3.5	1	1	28.5503
3.53333	1	1	28.9492
3.56667	1	1	29.1131
3.6	1	1	28.7875
3.63333	1	1	28.751
3.66667	1	1	29.1001
3.7	1	1	29.1158
3.73333	1	1	28.3273
3.76667	1	1	27.8104
3.8	1	1	27.8732
3.83333	1	1	28.1368
3.86667	1	1	28.0458
3.9	1	1	27.6997
3.93333	1	1	26.4339
3.96667	1	1	25.0514
4	1	1	24.366
4.03333	1	1	23.9075
4.06667	1	1	22.8116
4.1	1	1	21.7607
4.13333	1	1	21.7422
4.16667	1	1	22.0156
4.2	1	1	21.423
4.23333	1	1	20.2614
4.26667	1	1	19.7594
4.3	1	1	19.9629
4.33333	1	1	20.5461
4.36667	1	1	21.0879
4.4	1	1	20.7612
4.43333	1	1	20.0116
4.46667	1	1	20.3179
4.5	1	1	21.5683
4.53333	1	1	22.3374
4.56667	1	1	22.5379
4.6	1	1	23.1558
4.63333	1	1	24.4113
4.66667	1	1	25.7882
4.7	1	1	26.6966
4.73333	1	1	27.265
4.76667	1	1	26.8164
4.8	1	1	25.9521
4.83333	1	1	25.6519
4.86667	1	1	26.2217
4.9	1	1	25.828
4.93333	1	1	24.6782
4.96667	1	1	23.8429
5	1	1	23.7152
5.03333	1	1	23.4951
5.06667	1	1	22.8546
5.1	1	1	23.0748
5.13333	1	1	24.0037
5.16667	1	1	25.9041
5.2	1	1	28.2257
5.23333	1	1	30.0243
5.26667	1	1	29.8229
5.3	1	1	30.2582
5.33333	1	1	31.3528
5.36667	1	1	31.704
5.4	1	1	31.6967
5.43333	1	1	32.1842
5.46667	1	1	32.5763
5.5	1	1	32.0853
5.53333	1	1	31.5897
5.56667	1	1	31.4213
5.6	1	1	32.0188
5.63333	1	1	32.637
5.66667	1	1	33.5695
5.7	1	1	34.0532
5.73333	1	1	34.2333
5.76667	1	1	34.34
5.8	1	1	34.6371
5.83333	1	1	35.1278
5.86667	1	1	35.9897
5.9	1	1	36.8966
5.93333	1	1	37.9151
5.96667	1	1	38.7867
6	1	1	38.8435
6.03333	1	1	38.8486
6.06667	1	1	39.1543
6.1	1	1	39.4667
6.13333	1	1	40.0383
6.16667	1	1	41.0739
6.2	1	1	41.2175
6.23333	1	1	40.8237
6.26667	1	1	41.0533
6.3	1	1	41.5115
6.33333	1	1	41.1936
6.36667	1	1	40.5622
6.4	1	1	40.576
6.43333	1	1	40.7465
6.46667	1	1	40.5481
6.5	1	1	39.8498
6.53333	1	1	39.3259
6.56667	1	1	38.7583
6.6	1	1	38.483
6.63333	1	1	38.545
6.66667	1	1	38.5801
6.7	1	1	38.0828
6.73333	1	1	37.5813
6.76667	1	1	37.5188
6.8	1	1	37.1371
6.83333	1	1	36.1777
6.86667	1	1	34.7613
6.9	1	1	32.8372
6.93333	1	1	31.9207
6.96667	1	1	33.4098
7	1	1	34.9783
7.03333	1	1	34.9969
7.06667	1	1	34.7191
7.1	1	1	34.1933
7.13333	1	1	33.8466
7.16667	1	1	34.0523
7.2	1	1	34.6568
7.23333	1	1	35.2724
7.26667	1	1	36.1578
7.3	1	1	37.6715
7.33333	1	1	37.7342
7.36667	1	1	35.8195
7.4	1	1	34.8054
7.43333	1	1	35.9485
7.46667	1	1	36.8898
7.5	1	1	37.47
7.53333	1	1	37.9661
7.56667	1	1	38.282
7.6	1	1	38.3149
7.63333	1	1	38.2605
7.66667	1	1	38.4664
7.7	1	1	38.895
7.73333	1	1	39.6515
7.76667	1	1	40.3425
7.8	1	1	40.1221
7.83333	1	1	39.3111
7.86667	1	1	39.1339
7.9	1	1	39.2339
7.93333	1	1	38.8224
7.96667	1	1	38.6305
8	1	1	38.206
8.03333	1	1	37.7584
8.06667	1	1	38.119
8.1	1	1	39.0181
8.13333	1	1	38.9689
8.16667	1	1	38.4662
8.2	1	1	38.2607
8.23333	1	1	38.2674
8.26667	1	1	38.053
8.3	1	1	37.9775
8.33333	1	1	38.4667
8.36667	1	1	38.6884
8.4	1	1	38.9472
8.43333	1	1	38.961
8.46667	1	1	38.6225
8.5	1	1	38.1995
8.53333	1	1	38.4183
8.56667	1	1	38.8725
8.6	1	1	39.1057
8.63333	1	1	38.3799
8.66667	1	1	37.1373
8.7	1	1	36.5408
8.73333	1	1	36.4089
8.76667	1	1	35.9781
8.8	1	1	35.3509
8.83333	1	1	35.0599
8.86667	1	1	34.789
8.9	1	1	34.3924
8.93333	1	1	34.0702
8.96667	1	1	33.5987
9	1	1	33.1742
9.03333	1	1	33.2205
9.06667	1	1	33.6036
9.1	1	1	33.2851
9.13333	1	1	32.773
9.16667	1	1	32.8555
9.2	1	1	33.0771
9.23333	1	1	32.9543
9.26667	1	1	32.6748
9.3	1	1	32.5622
9.33333	1	1	32.583
9.36667	1	1	32.6337
9.4	1	1	32.8169
9.43333	1	1	33.3888
9.46667	1	1	33.5934
9.5	1	1	33.4752
9.53333	1	1	33.41
9.56667	1	1	33.1217
9.6	1	1	32.6337
9.63333	1	1	32.2853
9.66667	1	1	32.0221
9.7	1	1	31.5544
9.73333	1	1	30.6941
9.76667	1	1	29.7957
9.8	1	1	28.9229
9.83333	1	1	28.0399
9.86667	1	1	27.6663
9.9	1	1	28.1043
9.93333	1	1	28.733
9.96667	1	1	30.0226
10	1	1	31.3693
10.0333	1	1	31.4047
10.0667	1	1	30.7953
10.1	1	1	31.2985
10.1333	1	1	32.6355
10.1667	1	1	33.0635
10.2	1	1	32.0857
10.2333	1	1	30.2043
10.2667	1	1	28.0756
10.3	1	1	27.5254
10.3333	1	1	28.1252
10.3667	1	1	26.5998
10.4	1	1	23.0248
10.4333	1	1	20.7206
10.4667	1	1	19.0156
10.5	1	1	16.0046
10.5333	1	1	12.5247
10.5667	1	1	10.1426
10.6	1	1	8.89547
10.6333	1	1	7.81133
10.6667	1	1	6.61906
10.7	1	1	3.61845
10.7333	1	1	3.1433
10.7667	1	1	5.48187
10.8	1	1	6.60572
10.8333	1	1	8.46282
10.8667	1	1	10.3139
10.9	1	1	11.5762
