Time (sec)	Arena	Track	Pos. X (mm)	Pos. Y (mm)	Label
0.0333333	1	1	237.342	400.778	1
0.0333333	1	1	237.342	400.778	1
0.0666667	1	1	237.342	400.778	1
0.1	1	1	237.342	400.778	1
0.133333	1	1	237.342	400.895	1
0.166667	1	1	237.342	401.099	1
0.2	1	1	237.342	401.226	1
0.233333	1	1	237.342	401.226	1
0.266667	1	1	237.342	401.221	1
0.3	1	1	237.342	401.222	1
0.333333	1	1	237.228	401.105	1
0.366667	1	1	236.921	400.829	1
0.4	1	1	236.609	400.573	1
0.433333	1	1	236.565	400.535	1
0.466667	1	1	236.887	400.571	1
0.5	1	1	237.33	400.647	1
0.533333	1	1	237.63	400.719	1
0.566667	1	1	237.771	400.755	1
0.6	1	1	237.871	400.746	1
0.633333	1	1	237.969	400.834	1
0.666667	1	1	238.073	400.94	1
0.7	1	1	238.139	401.002	1
0.733333	1	1	238.139	401.002	1
0.766667	1	1	238.19	401.058	1
0.8	1	1	238.231	401.102	1
0.833333	1	1	238.25	401.122	1
0.866667	1	1	238.285	401.161	1
0.9	1	1	238.41	401.267	1
0.933333	1	1	238.466	401.304	1
0.966667	1	1	238.417	401.271	1
1	1	1	238.342	401.222	1
1.03333	1	1	238.339	401.22	1
1.06667	1	1	238.343	401.223	1
1.1	1	1	238.342	401.222	1
1.13333	1	1	238.342	401.368	1
1.16667	1	1	238.342	401.623	1
1.2	1	1	238.342	401.783	1
1.23333	1	1	238.342	401.783	1
1.26667	1	1	238.342	401.776	1
1.3	1	1	238.288	401.836	1
1.33333	1	1	238.248	401.996	1
1.36667	1	1	238.545	402.424	1
1.4	1	1	239.211	403.093	1
1.43333	1	1	239.916	403.954	1
1.46667	1	1	240.569	404.878	1
1.5	1	1	241.364	405.82	1
1.53333	1	1	242.299	406.732	1
1.56667	1	1	243.039	407.581	1
1.6	1	1	243.646	408.431	1
1.63333	1	1	244.447	409.419	1
1.66667	1	1	245.361	410.593	1
1.7	1	1	246.04	411.643	1
1.73333	1	1	246.642	412.482	1
1.76667	1	1	247.377	413.273	1
1.8	1	1	248.104	414.221	1
1.83333	1	1	248.73	415.225	1
1.86667	1	1	249.41	416.089	1
1.9	1	1	250.088	416.799	1
1.93333	1	1	250.717	417.555	1
1.96667	1	1	251.452	418.42	1
2	1	1	252.216	419.287	1
2.03333	1	1	252.795	420.199	1
2.06667	1	1	253.44	421.207	1
2.1	1	1	254.154	422.223	1
2.13333	1	1	254.805	423.165	1
2.16667	1	1	255.497	424.12	1
2.2	1	1	256.199	425.042	1
2.23333	1	1	256.764	425.756	1
2.26667	1	1	257.333	426.425	1
2.3	1	1	257.997	427.3	1
2.33333	1	1	258.666	428.273	1
2.36667	1	1	259.335	429.165	1
2.4	1	1	259.959	429.928	1
2.43333	1	1	260.561	430.568	1
2.46667	1	1	261.176	431.302	1
2.5	1	1	261.78	432.225	1
2.53333	1	1	262.367	433.166	1
2.56667	1	1	262.956	433.931	1
2.6	1	1	263.591	434.564	1
2.63333	1	1	264.23	435.296	1
2.66667	1	1	264.855	436.163	1
2.7	1	1	265.515	436.989	1
2.73333	1	1	266.133	437.735	1
2.76667	1	1	266.674	438.481	1
2.8	1	1	267.229	439.299	1
2.83333	1	1	267.894	440.108	1
2.86667	1	1	268.589	440.886	1
2.9	1	1	269.234	441.728	1
2.93333	1	1	269.772	442.579	1
2.96667	1	1	270.317	443.404	1
3	1	1	270.945	444.18	1
3.03333	1	1	271.484	444.804	1
3.06667	1	1	271.902	445.38	1
3.1	1	1	272.453	446.214	1
3.13333	1	1	273.151	447.219	1
3.16667	1	1	273.749	448.09	1
3.2	1	1	274.235	448.855	1
3.23333	1	1	274.766	449.58	1
3.26667	1	1	275.384	450.295	1
3.3	1	1	276.019	450.927	1
3.33333	1	1	276.632	451.56	1
3.36667	1	1	277.23	452.297	1
3.4	1	1	277.895	453.105	1
3.43333	1	1	278.513	453.831	1
3.46667	1	1	279.005	454.501	1
3.5	1	1	279.52	455.293	1
3.53333	1	1	280.205	456.16	1
3.56667	1	1	280.896	456.929	1
3.6	1	1	281.542	457.694	1
3.63333	1	1	282.091	458.518	1
3.66667	1	1	282.587	459.223	1
3.7	1	1	283.143	459.854	1
3.73333	1	1	283.808	460.647	1
3.76667	1	1	284.294	461.556	1
3.8	1	1	284.812	462.31	1
3.83333	1	1	285.507	462.96	1
3.86667	1	1	286.176	463.669	1
3.9	1	1	286.678	464.479	1
3.93333	1	1	287.154	465.11	1
3.96667	1	1	287.671	465.752	1
4	1	1	288.189	466.645	1
4.03333	1	1	288.766	467.58	1
4.06667	1	1	289.351	468.173	1
4.1	1	1	289.914	468.623	1
4.13333	1	1	290.258	469.026	1
4.16667	1	1	290.486	469.434	1
4.2	1	1	290.831	469.977	1
4.23333	1	1	291.187	470.653	1
4.26667	1	1	291.377	471.167	1
4.3	1	1	291.649	471.624	1
4.33333	1	1	292.055	472.294	1
4.36667	1	1	292.49	473.123	1
4.4	1	1	292.914	473.794	1
4.43333	1	1	293.349	474.264	1
4.46667	1	1	293.783	474.717	1
4.5	1	1	294.308	475.291	1
4.53333	1	1	294.762	475.9	1
4.56667	1	1	295.061	476.521	1
4.6	1	1	295.252	477.007	1
4.63333	1	1	295.345	477.493	1
4.66667	1	1	295.428	478.213	1
4.7	1	1	295.659	479.263	1
4.73333	1	1	295.997	480.312	1
4.76667	1	1	296.336	481.277	1
4.8	1	1	296.755	482.222	1
4.83333	1	1	297.24	483.22	1
4.86667	1	1	297.668	484.273	1
4.9	1	1	298.003	485.31	1
4.93333	1	1	298.292	486.219	1
4.96667	1	1	298.535	486.669	1
5	1	1	298.715	486.793	1
5.03333	1	1	298.808	487.152	1
5.06667	1	1	298.808	488.142	1
5.1	1	1	298.789	489.109	1
5.13333	1	1	298.78	489.783	1
5.16667	1	1	298.78	490.495	1
5.2	1	1	298.78	491.49	1
5.23333	1	1	298.707	492.503	1
5.26667	1	1	298.578	493.369	1
5.3	1	1	298.367	494.533	1
5.33333	1	1	298.005	495.816	1
5.36667	1	1	297.553	496.984	1
5.4	1	1	297.215	497.983	1
5.43333	1	1	296.873	499.005	1
5.46667	1	1	296.491	499.844	1
5.5	1	1	296.004	500.887	1
5.53333	1	1	295.389	501.857	1
5.56667	1	1	294.641	502.482	1
5.6	1	1	293.938	503.207	1
5.63333	1	1	293.367	504.217	1
5.66667	1	1	292.869	505.082	1
5.7	1	1	292.286	505.835	1
5.73333	1	1	291.694	506.763	1
5.76667	1	1	291.103	507.771	1
5.8	1	1	290.318	508.775	1
5.83333	1	1	289.494	509.774	1
5.86667	1	1	288.771	510.831	1
5.9	1	1	287.951	511.873	1
5.93333	1	1	287.036	512.707	1
5.96667	1	1	286.234	513.345	1
6	1	1	285.342	514.073	1
6.03333	1	1	284.296	514.947	1
6.06667	1	1	283.304	515.841	1
6.1	1	1	282.282	516.685	1
6.13333	1	1	280.981	517.498	1
6.16667	1	1	279.606	518.19	1
6.2	1	1	278.435	518.785	1
6.23333	1	1	277.297	519.403	1
6.26667	1	1	276.088	520.019	1
6.3	1	1	274.837	520.662	1
6.33333	1	1	273.628	521.467	1
6.36667	1	1	272.414	522.23	1
6.4	1	1	271.354	522.8	1
6.43333	1	1	270.279	523.326	1
6.46667	1	1	269.001	523.91	1
6.5	1	1	267.565	524.375	1
6.53333	1	1	266.221	524.823	1
6.56667	1	1	265.038	525.332	1
6.6	1	1	263.855	525.915	1
6.63333	1	1	262.565	526.375	1
6.66667	1	1	261.362	526.818	1
6.7	1	1	260.331	527.27	1
6.73333	1	1	259.235	527.815	1
6.76667	1	1	258.194	528.406	1
6.8	1	1	257.283	529.042	1
6.83333	1	1	256.244	529.708	1
6.86667	1	1	255.065	530.536	1
6.9	1	1	254.07	531.441	1
6.93333	1	1	253.206	532.345	1
6.96667	1	1	252.346	533.341	1
7	1	1	251.65	534.383	1
7.03333	1	1	251.256	535.405	1
7.06667	1	1	251.075	536.173	1
7.1	1	1	251	536.514	0
7.13333	1	1	250.908	537.494	0
7.16667	1	1	250.784	539.528	1
7.2	1	1	250.8	541.44	1
7.23333	1	1	250.937	542.661	1
7.26667	1	1	251.135	543.856	1
7.3	1	1	251.494	544.873	1
7.33333	1	1	252.037	545.833	1
7.36667	1	1	252.705	546.957	1
7.4	1	1	253.496	548.122	1
7.43333	1	1	254.352	549.17	1
